Algorithm,DataType,Size,TimeMicroseconds,Comparisons
StandardMergeSort,AlmostSorted,1800,2150.6,21608
TernaryQuickSort,AlmostSorted,1800,3213.8,46323
StringMergeSort,AlmostSorted,1800,19834.6,6905
MSDRadixSort,AlmostSorted,1800,3300,0
MSDRadixSortWithCutoff,AlmostSorted,1800,1615.1,12048
StandardQuickSort,AlmostSorted,1900,2006.6,35348
StandardMergeSort,AlmostSorted,1900,2261.7,22315
TernaryQuickSort,AlmostSorted,1900,3527.7,50825
StringMergeSort,AlmostSorted,1900,21210.3,7292
MSDRadixSort,AlmostSorted,1900,3459,0
MSDRadixSortWithCutoff,AlmostSorted,1900,1690.8,12638
StandardQuickSort,AlmostSorted,2000,2052.8,37800
StandardMergeSort,AlmostSorted,2000,2349.9,23122
TernaryQuickSort,AlmostSorted,2000,3834.8,55283
StringMergeSort,AlmostSorted,2000,22001.6,7779
MSDRadixSort,AlmostSorted,2000,3671.1,0
MSDRadixSortWithCutoff,AlmostSorted,2000,1789.4,13386
StandardQuickSort,AlmostSorted,2100,2386.6,43779
StandardMergeSort,AlmostSorted,2100,2469.3,24002
TernaryQuickSort,AlmostSorted,2100,4106.1,59963
StringMergeSort,AlmostSorted,2100,24353.3,8249
MSDRadixSort,AlmostSorted,2100,3811.8,0
MSDRadixSortWithCutoff,AlmostSorted,2100,1838.3,13988
StandardQuickSort,AlmostSorted,2200,2407.5,47741
StandardMergeSort,AlmostSorted,2200,2585.8,25136
TernaryQuickSort,AlmostSorted,2200,4505.6,64863
StringMergeSort,AlmostSorted,2200,25985.2,8396
MSDRadixSort,AlmostSorted,2200,4031.1,0
MSDRadixSortWithCutoff,AlmostSorted,2200,1975.1,14696
StandardQuickSort,AlmostSorted,2300,1652.3,35556
StandardMergeSort,AlmostSorted,2300,2698.9,26765
TernaryQuickSort,AlmostSorted,2300,4550.5,66594
StringMergeSort,AlmostSorted,2300,27592.2,8803
MSDRadixSort,AlmostSorted,2300,5350.1,0
MSDRadixSortWithCutoff,AlmostSorted,2300,2065,15316
StandardQuickSort,AlmostSorted,2400,1868.4,39574
StandardMergeSort,AlmostSorted,2400,2855.1,27856
TernaryQuickSort,AlmostSorted,2400,5050.3,71156
StringMergeSort,AlmostSorted,2400,28679.1,9197
MSDRadixSort,AlmostSorted,2400,5570.7,0
MSDRadixSortWithCutoff,AlmostSorted,2400,2167.1,15969
StandardQuickSort,AlmostSorted,2500,2179.2,44194
StandardMergeSort,AlmostSorted,2500,3817.9,28902
TernaryQuickSort,AlmostSorted,2500,5310.6,76235
StringMergeSort,AlmostSorted,2500,30453.5,9643
MSDRadixSort,AlmostSorted,2500,6617.6,0
MSDRadixSortWithCutoff,AlmostSorted,2500,2230.9,16670
StandardQuickSort,AlmostSorted,2600,2660.2,56492
StandardMergeSort,AlmostSorted,2600,3087.8,30358
TernaryQuickSort,AlmostSorted,2600,6598.3,95948
StringMergeSort,AlmostSorted,2600,30225.7,9691
MSDRadixSort,AlmostSorted,2600,4584.8,0
MSDRadixSortWithCutoff,AlmostSorted,2600,2179.8,17354
StandardQuickSort,AlmostSorted,2700,2815.4,59515
StandardMergeSort,AlmostSorted,2700,3193.4,31683
TernaryQuickSort,AlmostSorted,2700,7024.7,101877
StringMergeSort,AlmostSorted,2700,31395.4,10204
MSDRadixSort,AlmostSorted,2700,4726.3,0
MSDRadixSortWithCutoff,AlmostSorted,2700,2303.9,18063
StandardQuickSort,AlmostSorted,2800,2176.4,51781
StandardMergeSort,AlmostSorted,2800,3257.5,32086
